output,nstep_coarse,aexp,z,time
484,21433,0.521439959194368,0.917766336022682,6.313611555022906
485,21441,0.521696619966708,0.9168228463197918,6.317785725840573
486,21471,0.522607080181501,0.9134834523342101,6.332625436318731
487,21480,0.522870733415864,0.9125185941601601,6.336962962724257
488,21502,0.523546304243413,0.9100507288369071,6.348077206440534
489,21515,0.523934750524058,0.9086346133745944,6.354467782317609
490,21532,0.524449799906777,0.9067601897793724,6.362940869427121
491,21562,0.52535889428756,0.9034606834935222,6.377787817438381
492,21564,0.525417635060895,0.9032478799157582,6.378747147103466
493,21593,0.526285294285115,0.9001100940096765,6.392917393522097
494,21614,0.526923280369869,0.8978094862274051,6.403280669189963
495,21622,0.527190849155156,0.8968462779703767,6.407618544909882
496,21653,0.528117507883716,0.8935179861906524,6.4228641426108455
497,21665,0.528481105666199,0.892215235849176,6.428870309985583
498,21683,0.529025515163753,0.8902679952789481,6.437799709609954
499,21704,0.529662504539036,0.8879946974352992,6.448247603546321
500,21713,0.529948933415419,0.8869742666622464,6.452945607370056
501,21741,0.53078218402134,0.8840119923086851,6.466577451270287
502,21743,0.530849495994885,0.8837730986743475,6.467673401326323
503,21773,0.531770935543249,0.8805089431569169,6.482675958397564
504,21803,0.532688239019324,0.8772706561740393,6.497663907052614
505,21819,0.533185606913604,0.8755194945876277,6.505857856719899
506,21832,0.533583627430482,0.8741204725781901,6.512415095575382
507,21862,0.534498559782703,0.8709124312824035,6.5274882632029865
508,21870,0.534746958350727,0.8700433623488237,6.531557576999494
509,21877,0.534966679966387,0.8692752977864564,6.535150753206418
510,21893,0.535444504271797,0.8676071787495458,6.542964763312504
511,21921,0.536299072188268,0.8646312325689602,6.556939779359264
512,21922,0.536333805732004,0.8645104770809122,6.557507787848371
513,21953,0.537273698743673,0.8612487496379164,6.572797248385399
514,21969,0.537748808013265,0.8596043079938029,6.580555332099113
515,21983,0.538169274161645,0.8581514181718952,6.5875138373299365
516,22013,0.539092266908189,0.8549700327463734,6.602735581787473
517,22016,0.539181495870276,0.8546630543875235,6.6042013630018
518,22043,0.540017802181171,0.8517908038604054,6.617939526612136
519,22072,0.540915292868302,0.8487182987512105,6.632658701022861
520,22101,0.541815126231175,0.8456479924359519,6.647330989223939
521,22131,0.542743147674607,0.8424921701628449,6.662462899904974
